compte,role_buying_group,nom,titre,confiance,date_source,url_source,priorites,kpi_mesures,pourquoi_accessiway,requete_salesnav_si_a_confirmer
La Redoute,Economic Buyer,Béatrice Héricourt,Directrice Générale,élevée,2025-04-08 / 2026-05-29,https://corporate.laredoute.com/en/blog/la-redoute-appoints-beatrice-hericourt-as-chief-executive-officer/ | https://fashionunited.fr/actualite/business/transformation-du-modele-e-commerce-la-redoute-envisage-171-suppressions-de-postes/2026052941877,Restaurer rentabilité ; exécuter plan transformation ; commerce agentique / IA ; international ; image marque,CA (~1Md€) ; marge ; NPS ; conversion ; taux de litiges/réclamations,EAA = risque juridique + image sur site 20M visites/mois ; déclaration RGAA actuelle à 26% expose au Défenseur des droits ; AccessiWay sécurise conformité pendant transformation sans alourdir équipes tech sous pression PSE,
La Redoute,Economic Buyer (back-up groupe),Nicolas Houzé,Executive Chairman Groupe Galeries Lafayette,élevée,2025-04-08,https://corporate.laredoute.com/en/blog/la-redoute-appoints-beatrice-hericourt-as-chief-executive-officer/,Stratégie groupe ; rentabilité actifs ; gouvernance,Performance des participations ; ROE ; reputation groupe,Risque PR de non-conformité d'un actif 100% détenu touchant 20M visites/mois,
La Redoute,Economic Buyer (back-up CFO),François Théry,Directeur Financier,moyenne,2025-10,https://www.optionfinance.fr/nominations/nomination/francois-thery/directeur-financier/la-redoute.html,Cash ; coûts ; ROI projets,OPEX ; CAPEX ; EBITDA,Comparer coût AccessiWay vs amende EAA potentielle + risque image,"Current company: ""La Redoute"" | Title: ""Directeur Financier"" OR CFO | Geography: France"
La Redoute,Champion,Marie Mercier Briand,Directrice IA et Innovation (ex-Global CMO & Digital Experience Officer),élevée,2024-12-22 / 2026-03-16,"https://fr.fashionnetwork.com/news/La-redoute-nomme-marie-mercier-briand-directrice-ia-et-innovation,1818400.html | https://www.lsa-conso.fr/exclusif-la-redoute-nomme-une-directrice-ia-et-innovation-pour-accelerer-sa-transformation,464899",Lever non-conformité RGAA 26% ; sécuriser EAA ; gouvernance référent par métier (schéma 2024-2026),% conformité RGAA ; réclamations a11y ; NPS clients PSH ; vélocité roadmap,Alternative/complément à Urbilog avec widget + monitoring continu + tickets Jira pré-formatés = exécution sans embaucher pendant PSE ; cohérent avec mandat innovation,
La Redoute,Champion (Product),Renaud Dorizon,Global Head of Digital Product / Head of Product Design & Product Ops,élevée,2024-11-27 / 2025-05,https://www.linkedin.com/in/renaud-dorizon/ | https://fr.linkedin.com/posts/renaud-dorizon_laredoute-design-ux-activity-7325581930328973312-fwVA,Roadmap produit ; design system ; UX checkout ; vélocité squads,Tickets bloqués ; % couverture WCAG par composant ; Core Web Vitals ; NPS,Tickets Jira pré-formatés = pas de surcharge des squads ; design system MACH headless audit composant par composant,
La Redoute,Champion (RSE),Marie Guillemot,Head of Sustainability Strategy + Head of Brand & Communication,élevée,2024-09-24,https://www.choiseul-magazine.fr/2024/09/24/marie-guillemot-la-redoute-mettre-au-coeur-de-notre-business-model-le-principe-deconomie-circulaire/ | https://www.ecommercemag.fr/Thematique/retail-1220/interview-2164/Breves/e-commerce-responsable-marie-guillemot-detaille-strategie-rse-481925.htm,Pilier social RSE (loi 2005-102) ; ESRS S4 CSRD ; engagement consommateurs,Indicateurs ESRS ; satisfaction parties prenantes ; notation extra-financière,Accessibilité = composante S4 CSRD ; preuves chiffrées pour reporting RSE,
La Redoute,User (Tech sponsor),Jean-Cédric Costa,CIO/CTO,élevée,2024-2025,https://www.microsoft.com/en/customers/story/24709-la-redoute-azure-openai | https://www.republik-it.fr/decideurs-it/gouvernance/jean-cedric-costa-la-redoute-notre-strategie-repose-sur-le-choix-des-meilleurs-partenaires.html,Architecture MACH ; dette tech ; partenariats meilleurs de leur catégorie ; cloud Azure,Disponibilité ; performance ; coût infra ; vélocité tech centers Roubaix+Leiria,Monitoring continu cohérent MACH headless ; intégration Jira ; pas de régression à chaque release ; partenaire SaaS clé en main,
La Redoute,User (Bénéficiaire final),Clients en situation de handicap,~12M Français concernés / 15-20% trafic La Redoute,élevée,2024-2025,https://www.laredoute.fr/accessibilite.aspx,Pouvoir naviguer ; commander ; suivre commande ; SAV accessible,Réclamations ; saisines Défenseur des droits ; NPS PSH,Widget + remédiation = parcours utilisable bout en bout sans attendre refonte ; impact direct sur conversion,
La Redoute,Blocker (DPO),Philippe Huyon,Data Protection Officer (DPO La Redoute / ex-CIL 05/2018),élevée,2020-10 / 2025,"https://www.cybermatinees.fr/agenda-lille-fl-2025-pub/ | https://www.globalsecuritymag.fr/3-questions-a-Philippe-Huyon-L,20201015,103900.html | https://www.linkedin.com/in/philippe-huyon-27831115/",Conformité RGPD ; DSAR ; DPIA ; registre traitement ; DPA fournisseurs,Délai DSAR ; nombre d'incidents ; conformité fournisseurs ; audits CNIL,Arriver avec DPA + DPIA pré-rédigée + ISO 27001/SOC2 + preuve d'absence de captation de données côté widget,
La Redoute,Blocker (RSSI),Jérôme Pellois,RSSI La Redoute,à confirmer,2021,https://www.lemondeinformatique.fr/actualites/lire-jerome-pellois-rssi-la-redoute--nous-capitalisons-sur-google-cloud-armor-82800.html | https://fr.linkedin.com/in/jerome-pellois-1246471a,Sécurité applicative ; script tiers ; MTTR ; conformité,Score risque ; nombre d'incidents ; MTTD/MTTR ; pen tests,Widget = script tiers à auditer ; AccessiWay doit fournir SBOM + pen test + ISO 27001 + CSP-compatible,"Current company: ""La Redoute"" OR ""Galeries Lafayette"" | Title: RSSI OR CISO OR ""Responsable sécurité"" | Geography: Lille metropolitan area"
